epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.8646930149841308,0.31432,1.4656119680404662,0.4553,0.01
2,1.4773585960769653,0.4621,1.3338240491867066,0.5122,0.0101
3,1.2897674927520753,0.53338,1.030368046283722,0.6324,0.010199999999999999
4,1.1389142859268189,0.59562,0.9251199511528015,0.6757,0.010299999999999998
5,1.0219592717552186,0.63926,0.8468298003196716,0.7081,0.010399999999999998
6,0.9470408741760253,0.665,0.8013278392791748,0.7218,0.010499999999999997
7,0.8782004971504211,0.6913,0.7560426925659179,0.7307,0.010599999999999997
8,0.8275322514724731,0.70972,0.7023603162765503,0.7528,0.010699999999999996
9,0.7854435202598572,0.72552,0.7155864284515381,0.7464,0.005349999999999998
10,0.706668459777832,0.7536,0.617577891778946,0.7862,0.005449999999999998
11,0.6798471378707885,0.76358,0.6030436101436615,0.7914,0.0055499999999999985
12,0.6655614112854004,0.7681,0.592492376613617,0.7949,0.005649999999999999
13,0.650678625869751,0.77366,0.5868213466644288,0.7954,0.005749999999999999
14,0.6286422412681579,0.77944,0.574782989692688,0.8035,0.005849999999999999
15,0.6215025095367431,0.78504,0.5601632888317108,0.8077,0.0059499999999999996
16,0.6142223103141785,0.7863,0.5572343204498291,0.8093,0.00605
17,0.5954100869178772,0.79278,0.5805948587417602,0.7985,0.003025
18,0.5525907980442047,0.80762,0.5206225229740142,0.8231,0.0031249999999999997
19,0.5431076993465423,0.80854,0.5209762387752533,0.821,0.0015624999999999999
20,0.5197382382392883,0.81896,0.4975998842716217,0.8283,0.0016625
21,0.5092764161109924,0.82242,0.49462089838981627,0.8305,0.0017625
22,0.5064139585113525,0.82458,0.5000257126331329,0.8271,0.00088125
23,0.49296638818740846,0.82888,0.4889319650173187,0.8322,0.00098125
24,0.4887284447860718,0.82928,0.48843568811416627,0.8349,0.00108125
25,0.48613604996681214,0.8307,0.483777654838562,0.8338,0.00118125
26,0.48104672983169555,0.83286,0.4817807470321655,0.8333,0.00128125
27,0.47895328521728514,0.83472,0.48021171312332156,0.8365,0.00138125
28,0.480562928686142,0.83384,0.4803689673423767,0.8342,0.000690625
29,0.46696775817871095,0.8379,0.4806911461830139,0.8368,0.0003453125
30,0.4609349478340149,0.83956,0.4690726948738098,0.8387,0.0004453125
